Week,Employee_ID,AHT,Schedule_Adherence,ACW,RONA,Evaluation_Completed,Efficiency,Compliance,Logging,Professionalism,Exceptions,Knowledge,Guidance,QS_Adoption_Score,Performance_Level,Needs_Coaching
1/1/2024,EMP001,16.26,93.08,0.14,2,TRUE,85,95,95,95,100,95,100,95,Exceeds,No
1/8/2024,EMP001,18.01,96.17,1.272,0,TRUE,95,95,90,100,90,100,95,95,Exceeds,No
1/15/2024,EMP001,17.78,86.93,1.476,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/22/2024,EMP001,13.32,98.28,1.497,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP001,7.93,85.78,1.311,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/5/2024,EMP001,15.31,89.27,1.215,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/12/2024,EMP001,11.17,97.95,1.416,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/19/2024,EMP001,13.68,99.92,1.164,1,TRUE,95,100,100,95,95,95,100,97.14,Exceeds,No
2/26/2024,EMP001,15.26,92.44,1.201,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/4/2024,EMP001,7.32,90.84,1.414,2,TRUE,90,90,85,90,95,95,100,92.14,Exceeds,No
3/11/2024,EMP001,12.14,97.98,1.273,0,TRUE,95,95,50,100,100,95,100,90.71,Exceeds,No
3/18/2024,EMP001,8.39,86.65,0.5,1,TRUE,100,90,100,95,100,100,100,97.86,Exceeds,No
3/25/2024,EMP001,9.19,99.66,0.329,0,TRUE,100,90,85,95,100,100,90,94.29,Exceeds,No
4/1/2024,EMP001,18.5,87.27,1.393,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP001,15.92,87.84,1.15,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP001,15.27,96.81,1.211,1,TRUE,100,90,95,100,90,100,95,95.71,Exceeds,No
4/22/2024,EMP001,14.46,91.97,1.189,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP001,12.74,88.3,1.252,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP001,7.44,90.1,1.405,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/13/2024,EMP001,9.38,96.84,1.385,1,TRUE,95,85,90,100,95,100,100,95,Exceeds,No
5/20/2024,EMP001,15.19,98.64,1.365,0,TRUE,100,100,95,100,95,100,95,97.86,Exceeds,No
5/27/2024,EMP001,18.11,98.07,1.103,2,TRUE,95,95,95,85,100,100,100,95.71,Exceeds,No
6/3/2024,EMP001,9.11,94.85,1.157,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/10/2024,EMP001,22.91,89.78,5,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/17/2024,EMP001,8.53,86.18,1.209,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/24/2024,EMP001,26.66,88.52,1.159,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/1/2024,EMP001,14.81,89.92,0.211,0,TRUE,95,100,100,90,90,90,90,93.57,Exceeds,No
7/8/2024,EMP001,15.88,91.97,1.13,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/15/2024,EMP001,9.95,85.84,1.4,1,TRUE,100,90,100,95,95,90,100,95.71,Exceeds,No
7/22/2024,EMP001,9.44,93.89,4,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/29/2024,EMP001,19.13,93.52,1.33,0,TRUE,95,90,90,100,100,100,100,96.43,Exceeds,No
8/5/2024,EMP001,11.27,97.04,1.136,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/12/2024,EMP001,12.26,96.86,1.456,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/19/2024,EMP001,11.76,88.34,1.486,1,TRUE,95,100,100,85,100,100,50,90,Meets,Yes
8/26/2024,EMP001,13.37,88.94,1.181,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP001,14.98,85.13,0.355,2,TRUE,90,95,90,100,100,100,95,95.71,Exceeds,No
9/9/2024,EMP001,16.78,90.83,1.437,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/16/2024,EMP001,15.51,91.48,1.316,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/23/2024,EMP001,19.13,98.63,1.229,2,TRUE,90,100,90,95,100,85,95,93.57,Exceeds,No
9/30/2024,EMP001,19.46,97.75,1.291,0,TRUE,95,100,100,100,100,95,95,97.86,Exceeds,No
10/7/2024,EMP001,12.47,86.83,1.305,1,TRUE,90,100,90,100,100,95,100,96.43,Exceeds,No
10/14/2024,EMP001,18.68,94.58,3,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/21/2024,EMP001,8.45,87.14,0.8,2,TRUE,90,90,100,95,90,95,100,94.29,Exceeds,No
10/28/2024,EMP001,15.08,95.08,1.398,1,TRUE,85,95,100,100,100,95,100,96.43,Exceeds,No
11/4/2024,EMP001,18.06,86.54,1.197,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/11/2024,EMP001,11.84,85.42,1.334,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/18/2024,EMP001,9.65,95.91,1.375,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/25/2024,EMP001,17.04,98.83,1.156,0,TRUE,100,95,100,90,95,100,95,96.43,Exceeds,No
12/2/2024,EMP001,18.88,91.17,1.243,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
